STATE/UT,DISTRICT,YEAR,RAINFALL (mm),MIN TEMP (°C),MAX TEMP (°C),MONTH_NUM,MONTH_SIN,MONTH_COS,RAINFALL_LAG_1M,RAINFALL_LAG_1Y,HUMIDITY (%),DEW POINT (°C)
Andhra Pradesh,Chittoor,1950,232.28916666666666,13.091666666666667,25.358333333333334,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,224.35,,72.95955305883737,7.68357727843414
Andhra Pradesh,Chittoor,1951,219.92166666666665,14.475,26.208333333333332,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,223.15666666666667,232.28916666666666,64.08768132289005,7.292536264578011
Andhra Pradesh,Chittoor,1952,251.9625,14.6,27.541666666666668,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,246.4225,219.92166666666665,68.06664712259487,8.213329424518975
Andhra Pradesh,Chittoor,1953,112.315,15.6,26.333333333333332,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,127.81,251.9625,66.6742239981671,8.934844799633419
Andhra Pradesh,Chittoor,1954,219.8575,17.133333333333333,31.016666666666666,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,223.53833333333333,112.315,70.47916034398611,11.229165402130555
Andhra Pradesh,Chittoor,1955,227.54250000000002,16.441666666666666,27.441666666666666,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,215.03583333333336,219.8575,71.45738521424816,10.7331437095163
Andhra Pradesh,Chittoor,1956,268.785,15.558333333333332,28.791666666666668,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,258.425,227.54250000000002,68.9335592556988,9.345045184473092
Andhra Pradesh,Chittoor,1957,288.31,14.700000000000001,30.175,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,293.37583333333333,268.785,68.41482834030991,8.38296566806198
Andhra Pradesh,Chittoor,1958,169.66833333333332,16.541666666666668,30.150000000000002,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,170.51833333333335,288.31,69.70851906761543,10.483370480189754
Andhra Pradesh,Chittoor,1959,163.64333333333335,16.825,30.066666666666666,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,184.7275,169.66833333333332,71.30153677005346,11.085307354010695
Andhra Pradesh,Chittoor,1960,200.52,15.766666666666666,27.316666666666666,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,203.10583333333332,163.64333333333335,69.34761804998355,9.636190276663376
Andhra Pradesh,Chittoor,1961,160.24833333333333,16.941666666666666,26.483333333333334,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,140.19583333333335,200.52,68.8590752441202,10.713481715490708
Andhra Pradesh,Chittoor,1962,196.92333333333332,13.408333333333333,27.983333333333334,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,195.51416666666668,160.24833333333333,69.19259639300928,7.246852611935189
Andhra Pradesh,Chittoor,1963,235.53,16.833333333333332,29.325,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,243.7225,196.92333333333332,75.04181994707317,11.841697322747969
Andhra Pradesh,Chittoor,1964,194.69416666666666,12.358333333333334,23.416666666666668,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,204.5583333333333,235.53,72.15460301767013,6.789253936867358
Andhra Pradesh,Chittoor,1965,202.71083333333334,16.425,27.900000000000002,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,196.15833333333333,194.69416666666666,68.43273252392991,10.111546504785982
Andhra Pradesh,Chittoor,1966,227.3841666666667,15.591666666666667,26.974999999999998,6.5,-1.9070629087032778e-18,-4.625929269271486e-17,224.3375,202.71083333333334,70.63948711940391,9.719564090547449
